Column1.1,Column3
12/4/2017,103.04
12/5/2017,103.06
12/6/2017,102.98
12/7/2017,102.88
12/8/2017,102.96
12/11/2017,103.08
12/13/2017,103.11
12/14/2017,103.17
12/15/2017,103.22
12/18/2017,103.2
12/19/2017,103.16
12/20/2017,103.13
12/21/2017,103.09
12/22/2017,103.08
12/27/2017,103.08
12/28/2017,103.15
12/29/2017,103.23
1/2/2018,103.29
1/3/2018,103.35
1/4/2018,103.44
1/5/2018,103.28
1/8/2018,103.26
1/9/2018,103.22
1/10/2018,103.18
1/11/2018,103.14
1/12/2018,103.09
1/15/2018,103.07
1/16/2018,103.06
1/17/2018,103.04
1/18/2018,102.89
1/19/2018,102.91
1/22/2018,102.87
1/23/2018,102.78
1/24/2018,102.56
1/25/2018,102.34
1/26/2018,102.37
1/29/2018,102.35
1/30/2018,102.36
1/31/2018,102.36
2/1/2018,101.99
2/2/2018,101.92
2/5/2018,101.74
2/6/2018,101.36
2/7/2018,101.31
2/8/2018,101.01
2/9/2018,100.8
2/12/2018,100.85
2/13/2018,101.04
2/14/2018,101.23
2/15/2018,101.22
2/16/2018,101.25
2/19/2018,101.31
2/20/2018,101.3
2/21/2018,101.3
2/22/2018,101.47
2/23/2018,101.73
2/26/2018,101.83
2/27/2018,101.74
2/28/2018,101.62
3/1/2018,101.38
3/2/2018,101.29
3/5/2018,101.32
3/6/2018,101.33
3/7/2018,101.31
3/8/2018,101.29
3/9/2018,101.2
3/12/2018,101.15
3/13/2018,101.29
3/14/2018,101.27
3/15/2018,101.26
3/16/2018,101.29
3/19/2018,101.28
3/20/2018,101.27
3/21/2018,101.27
3/22/2018,101.06
3/23/2018,100.97
3/26/2018,100.96
3/27/2018,100.91
3/28/2018,100.86
3/29/2018,100.85
4/3/2018,100.89
4/4/2018,101.07
4/5/2018,101.06
4/6/2018,101.03
4/9/2018,101
4/10/2018,100.99
4/11/2018,101
4/12/2018,100.98
4/13/2018,100.87
4/16/2018,100.77
4/17/2018,100.63
4/18/2018,100.4
4/19/2018,100.4
4/20/2018,100.26
4/23/2018,100.06
4/24/2018,99.98
4/25/2018,100.05
4/26/2018,100.11
4/27/2018,100.33
4/30/2018,100.36
5/2/2018,100.34
5/3/2018,100.19
5/4/2018,100.22
5/7/2018,100.26
5/8/2018,100.29
5/9/2018,100.46
5/10/2018,100.6
5/11/2018,100.44
5/14/2018,100.43
5/15/2018,100.27
5/16/2018,100.45
5/17/2018,100.43
5/18/2018,100.42
5/21/2018,100.55
5/22/2018,100.6
5/23/2018,100.8
5/24/2018,101
5/25/2018,101.07
5/28/2018,101.18
5/29/2018,101.54
5/30/2018,101.57
5/31/2018,101.57
6/4/2018,101.38
6/5/2018,100.91
6/6/2018,101
6/7/2018,100.82
6/8/2018,100.84
6/11/2018,101
6/12/2018,101.05
6/13/2018,101.13
6/14/2018,101.14
6/18/2018,101.11
6/19/2018,101.13
6/20/2018,101.12
6/21/2018,100.96
6/22/2018,100.83
6/25/2018,100.83
6/26/2018,100.83
6/25/2018,100.76
6/27/2018,100.94
6/28/2018,101.04
6/29/2018,101.05
7/2/2018,100.89
7/3/2018,100.84
7/4/2018,100.84
7/5/2018,100.72
7/6/2018,100.76
7/9/2018,100.81
7/10/2018,100.89
7/11/2018,100.91
7/12/2018,100.79
7/13/2018,100.79
7/16/2018,100.66
7/17/2018,100.39
7/18/2018,100.62
7/19/2018,100.63
7/20/2018,100.73
7/23/2018,100.74
7/24/2018,100.55
7/25/2018,100.51
7/26/2018,100.49
7/27/2018,100.46
7/30/2018,100.34
7/31/2018,100.41
8/1/2018,100.48
8/2/2018,100.46
8/3/2018,100.35
8/6/2018,100.38
8/7/2018,100.47
8/8/2018,100.4
8/9/2018,100.42
8/10/2018,100.36
8/13/2018,100.49
8/14/2018,100.73
8/15/2018,100.73
8/16/2018,100.77
8/17/2018,100.79
8/18/2018,100.86
8/17/2018,100.79
8/22/2018,100.89
8/20/2018,100.86
8/23/2018,100.64
8/23/2018,100.68
8/24/2018,100.68
8/27/2018,100.79
8/28/2018,100.79
8/29/2018,100.68
8/30/2018,100.69
8/31/2018,100.65
9/3/2018,100.65
9/4/2018,100.66
9/5/2018,100.72
9/6/2018,100.71
9/7/2018,100.72
9/10/2018,100.72
9/11/2018,100.71
9/12/2018,100.75
9/13/2018,100.92
9/14/2018,101.18
9/17/2018,100.96
9/18/2018,100.84
9/19/2018,100.8
9/20/2018,100.79
9/21/2018,100.8
9/24/2018,100.86
9/25/2018,100.98
9/26/2018,101.06
9/27/2018,100.91
9/28/2018,100.96
10/1/2018,100.9
10/2/2018,100.92
10/3/2018,100.95
10/4/2018,100.97
10/5/2018,100.95
10/8/2018,100.85
10/9/2018,100.9
10/11/2018,100.92
10/12/2018,100.92
10/15/2018,100.9
10/16/2018,100.92
10/17/2018,100.97
10/18/2018,100.97
10/19/2018,101.03
10/22/2018,101.04
10/23/2018,101.1
10/24/2018,101.13
10/25/2018,101.21
10/26/2018,101.23
10/29/2018,101.32
10/30/2018,101.7
10/31/2018,101.85
11/1/2018,102.05
11/2/2018,101.74
11/5/2018,101.46
11/6/2018,101.51
11/7/2018,101.82
11/8/2018,101.78
11/9/2018,101.86
11/12/2018,102.1
11/13/2018,102.44
11/14/2018,102.66
11/15/2018,102.91
11/16/2018,103.21
11/19/2018,103.1
11/20/2018,102.81
11/21/2018,102.86
11/22/2018,102.36
11/23/2018,102.45
11/26/2018,102.47
11/27/2018,102.45
11/28/2018,102.68
11/29/2018,102.6
11/30/2018,102.54
12/3/2018,102.51
12/4/2018,102.68
12/5/2018,102.6
12/6/2018,102.64
12/7/2018,102.6
12/10/2018,102.45
12/11/2018,102.47
12/13/2018,102.66
12/14/2018,102.57
12/17/2018,102.53
12/18/2018,102.48
12/19/2018,102.38
12/20/2018,101.94
12/21/2018,101.42
12/24/2018,101.85
12/27/2018,101.82
12/28/2018,101.81
12/31/2018,101.85
1/2/2019,101.83
1/3/2019,102.12
1/4/2019,102.16
1/7/2019,102.1
1/8/2019,101.87
1/9/2019,101.96
1/10/2019,101.86
1/11/2019,101.75
1/14/2019,101.74
1/15/2019,101.7
1/16/2019,101.71
1/17/2019,101.7
1/18/2019,101.73
1/21/2019,101.71
1/22/2019,101.6
1/23/2019,101.6
1/24/2019,101.41
1/25/2019,101.08
1/28/2019,100.8
1/29/2019,100.71
1/30/2019,100.82
1/31/2019,100.89
2/1/2019,100.62
2/4/2019,100.38
2/5/2019,100.15
2/6/2019,100.07
2/7/2019,100.1
2/8/2019,100.15
2/11/2019,100.36
2/12/2019,100.53
2/13/2019,100.28
2/14/2019,100.25
2/15/2019,100.24
2/18/2019,100.19
2/19/2019,100.17
2/20/2019,100.27
2/21/2019,100.24
2/22/2019,100.22
2/25/2019,100.18
2/26/2019,100.07
2/27/2019,100.13
2/28/2019,100.09
3/1/2019,100.04
3/4/2019,100.04
3/5/2019,100.04
3/6/2019,100.05
3/7/2019,100.02
3/8/2019,99.71
3/11/2019,99.65
3/12/2019,99.61
3/13/2019,100.19
3/14/2019,100.24
3/15/2019,100.17
3/18/2019,100.3
3/19/2019,100.66
3/20/2019,100.85
3/21/2019,101.01
3/22/2019,100.78
3/25/2019,100.7
3/26/2019,100.96
3/27/2019,100.96
3/28/2019,100.88
3/29/2019,100.75
4/1/2019,100.78
4/2/2019,100.84
4/3/2019,100.9
4/4/2019,100.8
4/5/2019,100.72
4/8/2019,100.63
4/9/2019,100.64
4/10/2019,100.84
4/11/2019,101.09
4/12/2019,100.95
4/15/2019,100.99
4/16/2019,101
4/17/2019,101.06
4/24/2019,101.54
5/10/2019,101.13
5/13/2019,101.07
5/14/2019,101.07
5/15/2019,101.09
5/16/2019,101.11
5/17/2019,101.12
5/20/2019,101.11
5/21/2019,101.11
5/22/2019,101.17
5/23/2019,101.22
5/22/2019,101.17
5/24/2019,101.23
5/27/2019,101.24
5/28/2019,101.24
5/29/2019,101.28
5/30/2019,101.4
5/31/2019,101.36
6/3/2019,101.29
6/4/2019,101.28
6/6/2019,101.35
6/7/2019,101.3
6/10/2019,101.2
6/11/2019,101.28
6/12/2019,101.38
6/13/2019,101.39
6/14/2019,101.55
6/17/2019,101.82
6/18/2019,102
6/19/2019,102.02
6/20/2019,101.9
6/21/2019,101.87
6/24/2019,101.88
6/25/2019,101.91
6/26/2019,102.19
6/27/2019,102.17
6/28/2019,102.3
